year,msci_world_total,global_agg_bond_total
1970,-0.0205,
1971,0.1836,
1972,0.2248,
1973,-0.1524,
1974,-0.2547,
1975,0.328,
1976,0.134,
1977,0.0074,
1978,0.1652,
1979,0.1102,
1980,0.2567,
1981,-0.0479,
1982,0.0971,
1983,0.2193,
1984,0.0472,
1985,0.4056,
1986,0.4189,
1987,0.1616,
1988,0.2329,
1989,0.1661,
1990,-0.1702,0.1267
1991,0.1828,0.1634
1992,-0.0523,0.0574
1993,0.225,0.1107
1994,0.0508,-0.0274
1995,0.2072,0.1969
1996,0.1348,0.0491
1997,0.1576,0.0379
1998,0.2434,0.137
1999,0.2493,-0.0517
2000,-0.1318,0.0318
2001,-0.1682,-0.0083
2002,-0.1989,0.1652
2003,0.3311,0.1251
2004,0.1472,0.0927
2005,0.0949,-0.0449
2006,0.2007,0.0664
2007,0.0904,0.0948
2008,-0.4071,0.0479
2009,0.2999,0.0693
2010,0.1176,0.0554
2011,-0.0554,0.0564
2012,0.1583,0.0432
2013,0.2768,-0.026
2014,0.0395,0.0059
2015,-0.0075,-0.0315
2016,0.0741,0.0209
2017,0.2302,0.0739
2018,-0.0858,-0.012
2019,0.2816,0.0824
2020,0.1603,0.0752
2021,0.2221,-0.0325
2022,-0.1794,-0.1208
2023,0.2384,0.0592
2024,0.1882,0.0272
2025,0.2121,0.0502
